,Topics,Authors,Date,Description
298,"Managing Suspicious Activity Reporting Systems at Small Agency Police Departments 
","Roberts, Bryan A.",2012-09,Law enforcement agencies have managed anonymous tip line programs for decades whereby community members can submit suspected criminal activity to their local law enforcement agency. As a result of the increasing threat of ...
299,"The Navy Aeronautical Logistics System. 
","Towle, Barnaby L.",1959,no description
300,"The Casualty Network System Capstone Project 
","Miles, Ethan A.",2012-12,Passing patient information ahead of time to providers charged with assuming their medical care has been shown to improve the quality of medical care. On todays battlefield there is minimal to no ability to pass medical ...
301,"The Significance of Fire Service Culture as an Impediment to Effective Leadership in the Homeland Security Environment 
","Cox, Alan Thomas",2012-03,The tragic loss of 343 firefighters on 9/11 monumentally illustrates that firefighters now stand on the front line in the war against terror. The ramifications of 9/11 forced fire service leaders to incorporate newly ...
302,"Should the United States create an American Foreign Legion 
","Farrell, Brian.",2011-06,"The growing hostility and division between Islam and ""the West"" comes at a time when  the United States and our allies need more than ever to secure vital national interests in  the Middle East, to include energy resources, ..."
303,"The implementation of IS on the knowledge management and mental models at the decision-making process 
","Karamoutas, Sokratis",2011-03,The emphasis of this research is to leverage Knowledge Flow Theory to enhance extant Decision Theory and decision  support systems to improve the decision-making process in military organizations in general and to outline ...
304,"The effects of combat exposure on reenlistment and attrition 
","Pergar, Nicholas R.",2011-03,The operational environment faced by today's service members is characterized by  continued deployments to combat zones where large segments of the active duty  population experience stressful deployments throughout their ...
305,"An adaptive method for scheduling the sequence and route of builder trials for a new ship 
","Tahir, Ahmed Raza",2015-09,"Before a newly built ship is brought into service, it has to undergo various trials as part of its delivery. The builder shipyard aims at completing the maximum number of trials in the minimum possible time. Many trials ..."
306,"The challenge of cyber power for central African countries: risks and opportunities 
","Yossi, Raoul Nanci",2012-12,"In a context where cybersecurity is becoming a major concern of so many of the worlds countries, some in Central Africa seem not to be concerned. In the meantime, due to the strength of a growing economy, there is a growing ..."
307,"STARE CubeSat Communications Testing, Simulation and Analysis 
","Le Gaux, Clyde R.,III",2012-09,"The Space-based Telescope for the Actionable Refinement of Ephemeris (STARE) CubeSat will play an important role in contributing to this nations space situational awareness (SSA), perhaps one day becoming an integral part ..."
308,"Navy management at the supervisor level 
","Payne, Robert C.",1953,no description
309,"The Marine Corps Stock Fund. 
","Wood, Frederick, S.",1955,no description
310,"Iranian-Venezuelan relations and impacts on the United States 
","Gundogan, Mehmet S.",2012-12,"This thesis examines the recent IranianVenezuelan partnership, especially as it relates to Irans involvement in Latin America and its impact on U.S. foreign policy. Thus, this study analyzes Irans behavior vis--vis the ..."
311,"Building a capabilities network to improve disaster preparation efforts in the European Command (EUCOM) area of responsibility 
","Daniels III, Charles E.",2012-12,"United States European Commands (EUCOM) website states that the breadth of responsibility across 51 countries can factor significantly into partnering opportunities and challenges. In order to understand this responsibility, ..."
312,"An enterprise-wide model for redistributing excess material 
","McNulty, Kevin S.; Dillion, Aaron J.; Mourning, Matt H.",2012-12,"For the last 10 years, the Navy has been consolidating its major business functions into an Enterprise Resource Planning (ERP) system to increase efficiency, reduce costs, and improve accountability. Much of this effort ..."
313,"Joint light tactical vehicle and mine resistant ambush protected all-terrain vehicle optimum procurement ratio 
","Mattox, Kyle E.",2012-12,This thesis builds an optimization decision model that can be used to determine the optimum ratio of the two vehicles that the Army and Marine Corps can purchase to minimize costs while taking into account constraints ...
314,"Increasing realism in virtual marksmanship simulators 
","Worden, Brian P.",2012-12,"The U.S. military currently uses a number of virtual marksmanship simulators to help train its soldiers and Marines in marksmanship techniques. Like all information systems, these virtual marksmanship simulators rapidly ..."
315,"Lebanon A Convergence of Political Islam and Criminality 
","King, Ryan K.",2012-09,"Kamal Salibi, a recognized Lebanese historian, described Lebanese society as liberal and tolerant, traditional rather than zealous or fanatical in its attitude towards religion and political ideology. Unfortunately, the ..."
316,"An analysis of the metrics used in the United States Navy's Enlisted Supply Chain as they apply to the Royal Australian Navy 
","Chapman, Peter E. H.",2012-12,"This research was conducted at the request of the Royal Australian Navys Directorate of Navy Capability Structures and Guidance, in order to determine approaches to more efficiently and effectively manage its workforce. ..."
